Resultados de las elecciones al Parlamento Europeo en la C.A. de Euskadi según territorio histórico (p). 09/06/2024


;C.A. de Euskadi;;Araba/Álava;;Bizkaia;;Gipuzkoa;
;Resultados ;% ;Resultados ;% ;Resultados ;% ;Resultados ;% 
Censo electoral;1717029;100;254454;100;903851;100;558724;100
Abstención;844739;49,2;127843;50,2;437973;48,46;278923;49,9
Votantes;872290;50,8;126611;49,8;465878;51,5;279801;50,1;
;;;;;;;;;
Total votantes;872290;100;126611;100;465878;100;279801;100
Nulos ;3709;0,4;683;0,5;2140;0,5;886;0,3;
Válidos;868581;99,6;125928;99,5;463738;99,5;278915;99,7
;;;;;;;;
Total válidos;868581;100;125928;100;463738;100;278915;100
Blancos;4475;0,5;628;0,5;2417;0,5;1430;0,5
Votos a candidaturas;864106;99,5;125300;99,5;461321;99,5;277485;99,5
;;;;;;;;
Total votos a candidaturas;864106;100;125300;100;461321;100;277485;100
EH BILDU;227973;26,38;26933;21,49;104887;22,74;96153;34,65
PSOE;225278;26,07;36280;28,95;122255;26,5;66743;24,05
EAJ-PNV;194594;22,52;19122;15,26;117821;25,54;57651;20,78
PP;99853;11,56;22201;17,72;53702;11,64;23950;8,63
SUMAR;28438;3,29;4722;3,77;15279;3,31;8437;3,04
PODEMOS;27720;3,21;4565;3,64;14780;3,2;8375;3,02
VOX;23278;2,69;4952;3,95;12401;2,69;5925;2,14
Otros;36972;4,28;6525;5,22;20196;4,38;10251;3,69

(p) Resultados provisionales

Fuente: Departamento de Seguridad del Gobierno Vasco. Estadística de resultados electorales
