ID,LANGUAGE_ID,ACRONYM,LABEL
GP0601,ES,PSE,Grupo Parlamentario del Partido Socialista Europeo
GP0602,ES,PPE,Grupo del Partido Popular Europeo (Grupo Demócrata Cristiano)
GP0603,ES,ELDR,"Grupo del Partido Europeo de los Liberales, Demócratas y Reformistas"
GP0604,ES,GUE,Grupo Confederal de la Izquierda Unitaria Europea
GP0605,ES,FE,Grupo Forza Europa
GP0606,ES,RDE,Grupo de Alianza Democrática Europea
GP0607,ES,V,Grupo de los Verdes en el Parlamento Europeo
GP0608,ES,ARE,Grupo de Coalición Radical Europea
GP0609,ES,EDN,Grupo Europa de las Naciones (Grupo de Coordinación)
NA,ES,NI,No inscritos
