,YEAR,COUNTRY_ID,RATE
0,1979,BE,91.36
1,1979,DK,47.82
2,1979,DE,65.73
3,1979,IE,63.61
4,1979,FR,60.71
5,1979,IT,85.65
6,1979,LU,88.91
7,1979,NL,58.12
8,1979,UK,32.35
9,1981,EL,81.48
10,1984,BE,92.09
11,1984,DK,52.38
12,1984,DE,56.76
13,1984,IE,47.56
14,1984,FR,56.72
15,1984,IT,82.47
16,1984,LU,88.79
17,1984,NL,50.88
18,1984,UK,32.57
19,1984,EL,80.59
20,1987,ES,68.52
21,1987,PT,72.42
22,1989,BE,90.73
23,1989,DK,46.17
24,1989,DE,62.28
25,1989,IE,68.28
26,1989,FR,48.8
27,1989,IT,81.07
28,1989,LU,87.39
29,1989,NL,47.48
30,1989,UK,36.37
31,1989,EL,80.03
32,1989,ES,54.71
33,1989,PT,51.1
34,1994,BE,90.66
35,1994,DK,52.92
36,1994,DE,60.02
37,1994,IE,43.98
38,1994,FR,52.71
39,1994,IT,73.6
40,1994,LU,88.55
41,1994,NL,35.69
42,1994,UK,36.43
43,1994,EL,73.18
44,1994,ES,59.14
45,1994,PT,35.54
46,1995,SE,41.63
47,1996,AT,67.73
48,1996,FI,57.6
49,1999,BE,91.05
50,1999,DK,50.46
51,1999,DE,45.19
52,1999,IE,50.21
53,1999,FR,46.76
54,1999,IT,69.76
55,1999,LU,87.27
56,1999,NL,30.02
57,1999,UK,24.0
58,1999,EL,70.25
59,1999,ES,63.05
60,1999,PT,39.93
61,1999,SE,38.84
62,1999,AT,49.4
63,1999,FI,30.14
64,2004,BE,90.81
65,2004,DK,47.89
66,2004,DE,43.0
67,2004,IE,58.58
68,2004,FR,42.76
69,2004,IT,71.72
70,2004,LU,91.35
71,2004,NL,39.26
72,2004,UK,38.52
73,2004,EL,63.22
74,2004,ES,45.14
75,2004,PT,38.6
76,2004,SE,37.85
77,2004,AT,42.43
78,2004,FI,39.43
79,2004,CZ,28.3
80,2004,EE,26.83
81,2004,CY,72.5
82,2004,LT,48.38
83,2004,LV,41.34
84,2004,HU,38.5
85,2004,MT,82.39
86,2004,PL,20.87
87,2004,SI,28.35
88,2004,SK,16.97
89,2007,BG,29.22
90,2007,RO,29.47
91,2009,BE,90.39
92,2009,DK,59.54
93,2009,DE,43.27
94,2009,IE,58.64
95,2009,FR,40.63
96,2009,IT,66.47
97,2009,LU,90.76
98,2009,NL,36.75
99,2009,UK,34.7
100,2009,EL,52.54
101,2009,ES,44.87
102,2009,PT,36.77
103,2009,SE,45.53
104,2009,AT,45.97
105,2009,FI,38.6
106,2009,CZ,28.22
107,2009,EE,43.9
108,2009,CY,59.4
109,2009,LT,20.98
110,2009,LV,53.7
111,2009,HU,36.31
112,2009,MT,78.79
113,2009,PL,24.53
114,2009,SI,28.37
115,2009,SK,19.64
116,2009,BG,38.99
117,2009,RO,27.67
118,2013,HR,20.84
119,2014,BE,89.64
120,2014,DK,56.32
121,2014,DE,48.1
122,2014,IE,52.44
123,2014,FR,42.43
124,2014,IT,57.22
125,2014,LU,85.55
126,2014,NL,37.32
127,2014,UK,35.6
128,2014,EL,59.97
129,2014,ES,43.81
130,2014,PT,33.67
131,2014,SE,51.07
132,2014,AT,45.39
133,2014,FI,39.1
134,2014,CZ,18.2
135,2014,EE,36.52
136,2014,CY,43.97
137,2014,LT,47.35
138,2014,LV,30.24
139,2014,HU,28.97
140,2014,MT,74.8
141,2014,PL,23.83
142,2014,SI,24.55
143,2014,SK,13.05
144,2014,BG,35.84
145,2014,RO,32.44
146,2014,HR,25.24
147,2019,BE,88.47
148,2019,DK,66.08
149,2019,DE,61.38
150,2019,IE,49.7
151,2019,FR,50.12
152,2019,IT,54.5
153,2019,LU,84.24
154,2019,NL,41.93
155,2019,UK,37.18
156,2019,EL,58.69
157,2019,ES,60.73
158,2019,PT,30.75
159,2019,SE,55.27
160,2019,AT,59.8
161,2019,FI,40.8
162,2019,CZ,28.72
163,2019,EE,37.6
164,2019,CY,44.99
165,2019,LT,53.48
166,2019,LV,33.53
167,2019,HU,43.36
168,2019,MT,72.7
169,2019,PL,45.68
170,2019,SI,28.89
171,2019,SK,22.74
172,2019,BG,32.64
173,2019,RO,51.2
174,2019,HR,29.85
175,2024,BE,89.01
176,2024,BG,33.78
177,2024,CZ,36.45
178,2024,DK,58.25
179,2024,DE,64.74
180,2024,EE,37.64
181,2024,IE,50.65
182,2024,EL,41.24
183,2024,ES,46.39
184,2024,FR,51.49
185,2024,IT,48.31
186,2024,CY,58.86
187,2024,LV,33.82
188,2024,LT,28.97
189,2024,LU,82.29
190,2024,HU,59.46
191,2024,MT,72.98
192,2024,NL,46.18
193,2024,AT,56.25
194,2024,PL,40.65
195,2024,PT,36.47
196,2024,RO,52.4
197,2024,SI,41.8
198,2024,SK,34.38
199,2024,FI,40.38
200,2024,SE,53.39
201,2024,HR,21.35
